scene_id,utterance,target_index,target_id,anchor_ids,relation_type,subsets,base_pred,sparse_no_cal_pred,dense_no_cal_pred,dense_gate_pred,gate_lambda,relation_margin,pred_class_count,event
scene0340_00,'The lamp sitting on the floor next to the curtains.',31,31,"['2', '3']",relative,"same_class_clutter,multi_anchor,relative_position,relational,baseline_wrong,sparse_all_incomplete_at_5",28,31,31,28,0.116835,0.089201,3,recovered
scene0340_00,Its the lamp that's on and is located to the right of a hung up picture frame.,39,39,['3'],directional,"same_class_clutter,single_anchor,directional,relational,baseline_wrong,sparse_any_missed_at_5,sparse_all_incomplete_at_5",28,28,39,28,0.144616,0.076952,3,recovered
scene0340_00,This lamp is right next to a window,31,31,"['2', '3']",relative,"same_class_clutter,multi_anchor,relative_position,relational,baseline_wrong,sparse_all_incomplete_at_5",28,31,31,28,0.116835,0.089201,3,recovered
scene0058_00,The desk that is on the side of the room where there are not chairs against the wall.,28,28,['6'],relative,"single_anchor,relative_position,relational,baseline_wrong",10,28,28,10,0.124881,0.018819,2,recovered
scene0058_00,"NOT the desk with two blue chairs, including a non-swivel chair.",28,28,['6'],attribute,"single_anchor,baseline_wrong",10,28,28,10,0.124881,0.018819,2,recovered
scene0058_00,pick the smaller desk that has only one chair.,28,28,['6'],attribute,"single_anchor,baseline_wrong",10,28,28,10,0.124881,0.018819,2,recovered
scene0058_00,The desk far away from the blue door,28,28,['6'],attribute,"single_anchor,baseline_wrong",10,28,28,10,0.124881,0.018819,2,recovered
scene0330_00,the pillow is the zebra stripe one on the left of the bed,12,12,['2'],directional,"same_class_clutter,same_class_high_clutter,single_anchor,directional,relational,baseline_wrong",10,12,12,10,0.184052,0.376681,5,recovered
scene0330_00,"Facing striped pillows on couch, it's the lefthand striped pillow.",12,12,['2'],relative,"same_class_clutter,same_class_high_clutter,single_anchor,relative_position,relational,baseline_wrong",10,12,12,10,0.165751,0.003834,5,recovered
scene0330_00,"Facing the couch or bed, it's the largest one on the right.",15,15,['2'],relative,"same_class_clutter,same_class_high_clutter,single_anchor,relative_position,relational,baseline_wrong",2,15,15,9,0.141517,0.003834,3,recovered
scene0330_00,"facing the 4 pillows, the striped pillow on your left",12,12,['2'],relative,"same_class_clutter,same_class_high_clutter,single_anchor,relative_position,relational,baseline_wrong",10,12,12,10,0.165751,0.003834,5,recovered
scene0640_00,'The lamp over the desk.',2,2,['36'],other,"single_anchor,dense_scene,baseline_wrong",1,2,2,1,0.125485,0.035023,2,recovered
scene0640_00,The lamp at the foot of the bed.,2,2,['36'],other,"single_anchor,dense_scene,baseline_wrong",1,2,2,1,0.125485,0.035023,2,recovered
scene0640_00,It is a lamp on a desk that has a computer chair underneath it.,2,2,['36'],other,"single_anchor,dense_scene,baseline_wrong",1,2,2,1,0.125485,0.035023,2,recovered
scene0640_00,The lamp on the same side as the grey couch,2,2,['36'],attribute,"single_anchor,dense_scene,baseline_wrong",1,2,2,1,0.125485,0.035023,2,recovered
scene0640_00,the lamp above the desk next to the sofa.,2,2,['36'],relative,"single_anchor,relative_position,relational,dense_scene,baseline_wrong",1,2,2,1,0.125485,0.035023,2,recovered
scene0640_00,"facing the windows, the left lamp",2,2,['36'],relative,"single_anchor,relative_position,relational,dense_scene,baseline_wrong",1,2,2,1,0.125485,0.035023,2,recovered
