scene_id,utterance,target_id,target_class,pred_top1,pred_top5,correct_at_1,same_class_count,relation_type,anchor_ids,anchor_classes,anchor_ranks,anchor_distances,min_anchor_rank,nearest_sparse_candidates,annotation_match,subset_tags
scene0635_00,The small box on the top shelf of the tall shelving unit with a ladder in front of it.,25,box,1,"[5, 1, 25, 37, 28]",False,5,directional,"['14', '16']","['bookshelf', 'ladder']","[7, 8]","[1.256, 1.2978]",7,"['17', '18', '44', '19', '21']",exact_utterance,"['same_class_clutter', 'same_class_high_clutter', 'multi_anchor', 'directional', 'relational', 'baseline_wrong']"
scene0635_00,"Please select the highest box on top of the book case, on the right hand side of the ladder as your facing it.",25,box,1,"[5, 1, 25, 37, 28]",False,5,relative,"['14', '16']","['bookshelf', 'ladder']","[7, 8]","[1.256, 1.2978]",7,"['17', '18', '44', '19', '21']",exact_utterance,"['same_class_clutter', 'same_class_high_clutter', 'multi_anchor', 'relative_position', 'relational', 'baseline_wrong']"
scene0635_00,the highest box,25,box,1,"[5, 1, 25, 37, 28]",False,5,other,"['14', '16']","['bookshelf', 'ladder']","[7, 8]","[1.256, 1.2978]",7,"['17', '18', '44', '19', '21']",target_fallback,"['same_class_clutter', 'same_class_high_clutter', 'multi_anchor', 'baseline_wrong']"
scene0635_00,The highest of the boxes.,25,box,1,"[5, 1, 25, 37, 28]",False,5,other,"['14', '16']","['bookshelf', 'ladder']","[7, 8]","[1.256, 1.2978]",7,"['17', '18', '44', '19', '21']",target_fallback,"['same_class_clutter', 'same_class_high_clutter', 'multi_anchor', 'baseline_wrong']"
scene0635_00,This box is high atop the tall bookshelf.,25,box,1,"[5, 1, 25, 37, 28]",False,5,other,"['14', '16']","['bookshelf', 'ladder']","[7, 8]","[1.256, 1.2978]",7,"['17', '18', '44', '19', '21']",target_fallback,"['same_class_clutter', 'same_class_high_clutter', 'multi_anchor', 'baseline_wrong']"
scene0635_00,"Facing the door, the box is on top of the tall brown bookcase to the left, above the ladder.",25,box,1,"[5, 1, 25, 37, 28]",False,5,relative,"['14', '16']","['bookshelf', 'ladder']","[7, 8]","[1.256, 1.2978]",7,"['17', '18', '44', '19', '21']",target_fallback,"['same_class_clutter', 'same_class_high_clutter', 'multi_anchor', 'relative_position', 'relational', 'baseline_wrong']"
scene0635_00,"This is the highest box in the room, on top of a bookshelf next to the door.",25,box,1,"[5, 1, 25, 37, 28]",False,5,relative,"['14', '16']","['bookshelf', 'ladder']","[7, 8]","[1.256, 1.2978]",7,"['17', '18', '44', '19', '21']",target_fallback,"['same_class_clutter', 'same_class_high_clutter', 'multi_anchor', 'relative_position', 'relational', 'baseline_wrong']"
scene0670_00,"The trash can is small and white. It is near brown cabinets and there is a poster that says ""kitchen"" above it.",25,trash can,3,"[25, 24, 3, 27, 1]",False,3,relative,"['27', '33']","['cabinet', 'picture']","[6, 11]","[1.1676, 1.5447]",6,"['22', '31', '34', '23', '14']",exact_utterance,"['same_class_clutter', 'multi_anchor', 'relative_position', 'relational', 'baseline_wrong']"
scene0670_00,Choose the garbage can  next to the  counter and under the poster that says KITCHEN,25,trash can,3,"[25, 24, 3, 4, 26]",False,3,relative,"['27', '33']","['cabinet', 'picture']","[6, 11]","[1.1676, 1.5447]",6,"['22', '31', '34', '23', '14']",target_fallback,"['same_class_clutter', 'multi_anchor', 'relative_position', 'relational', 'baseline_wrong']"
scene0670_00,The small trash can by itself.,25,trash can,3,"[25, 24, 3, 4, 7]",False,3,relative,"['27', '33']","['cabinet', 'picture']","[6, 11]","[1.1676, 1.5447]",6,"['22', '31', '34', '23', '14']",target_fallback,"['same_class_clutter', 'multi_anchor', 'relative_position', 'relational', 'baseline_wrong']"
scene0670_00,This trashcan is between the brown kitchen cabinets.,25,trash can,3,"[25, 24, 3, 7, 8]",False,3,between,"['27', '33']","['cabinet', 'picture']","[6, 11]","[1.1676, 1.5447]",6,"['22', '31', '34', '23', '14']",target_fallback,"['same_class_clutter', 'multi_anchor', 'between', 'relational', 'baseline_wrong']"
scene0670_00,The trash can that is closest to the stove.,25,trash can,3,"[25, 24, 3, 4, 8]",False,3,directional,"['27', '33']","['cabinet', 'picture']","[6, 11]","[1.1676, 1.5447]",6,"['22', '31', '34', '23', '14']",target_fallback,"['same_class_clutter', 'multi_anchor', 'directional', 'relational', 'baseline_wrong']"
scene0670_00,The trash can that is by it self,25,trash can,3,"[25, 24, 3, 4, 13]",False,3,relative,"['27', '33']","['cabinet', 'picture']","[6, 11]","[1.1676, 1.5447]",6,"['22', '31', '34', '23', '14']",target_fallback,"['same_class_clutter', 'multi_anchor', 'relative_position', 'relational', 'baseline_wrong']"
scene0670_00,A white trash bin in the kitchen on a wall between to sets of counters.,25,trash can,3,"[25, 24, 3, 4, 1]",False,3,between,"['27', '33']","['cabinet', 'picture']","[6, 11]","[1.1676, 1.5447]",6,"['22', '31', '34', '23', '14']",target_fallback,"['same_class_clutter', 'multi_anchor', 'between', 'relational', 'baseline_wrong']"
scene0098_00,Choose the single box that is in front of the whiteboard next to the empty bookshelf.,36,box,1,"[36, 27, 1, 41, 0]",False,3,directional,"['17', '20']","['whiteboard', 'bookshelf']","[10, 9]","[1.2937, 1.1634]",9,"['30', '34', '32', '31', '33']",exact_utterance,"['same_class_clutter', 'multi_anchor', 'directional', 'relational', 'baseline_wrong']"
scene0425_00,The correct dresser is infront of the blue sheet on the wall and beside the bed.,30,dresser,19,"[19, 30, 26, 22, 21]",False,2,directional,"['1', '29', '3']","['wall_hanging', 'wall', 'bed']","[11, 8, 10]","[1.2756, 0.9176, 1.2002]",8,"['9', '8', '23', '11', '31']",exact_utterance,"['multi_anchor', 'directional', 'relational', 'baseline_wrong']"
scene0425_00,This one is right next to the bed,30,dresser,14,"[14, 3, 20, 30, 19]",False,2,relative,"['1', '29', '3']","['wall_hanging', 'wall', 'bed']","[11, 8, 10]","[1.2756, 0.9176, 1.2002]",8,"['9', '8', '23', '11', '31']",target_fallback,"['multi_anchor', 'relative_position', 'relational', 'baseline_wrong']"
scene0425_00,The correct dresser is closest to the computer and has a red and black back pack in front of it.,30,dresser,19,"[19, 30, 24, 26, 14]",False,2,directional,"['1', '29', '3']","['wall_hanging', 'wall', 'bed']","[11, 8, 10]","[1.2756, 0.9176, 1.2002]",8,"['9', '8', '23', '11', '31']",target_fallback,"['multi_anchor', 'directional', 'relational', 'baseline_wrong']"
scene0425_00,Your looking for the dresser that is closet to the bed. The one under the blue curtain covering the window.,30,dresser,26,"[26, 24, 25, 13, 19]",False,2,attribute,"['1', '29', '3']","['wall_hanging', 'wall', 'bed']","[11, 8, 10]","[1.2756, 0.9176, 1.2002]",8,"['9', '8', '23', '11', '31']",target_fallback,"['multi_anchor', 'baseline_wrong']"
