scene_id,utterance,target_id,target_class,pred_top1,pred_top5,same_class_count,relation_type,annotation_match,anchor_ids,anchor_classes,missed_anchor_ids_at_k,anchor_ranks,min_anchor_rank,dense_any_reachable,dense_all_reachable,subset_tags
scene0635_00,The small box on the top shelf of the tall shelving unit with a ladder in front of it.,25,box,1,"[5, 1, 25, 37, 28]",5,directional,exact_utterance,"['14', '16']","['bookshelf', 'ladder']","['14', '16']","[7, 8]",7,True,True,"['same_class_clutter', 'same_class_high_clutter', 'multi_anchor', 'directional', 'relational', 'baseline_wrong']"
scene0635_00,"Please select the highest box on top of the book case, on the right hand side of the ladder as your facing it.",25,box,1,"[5, 1, 25, 37, 28]",5,relative,exact_utterance,"['14', '16']","['bookshelf', 'ladder']","['14', '16']","[7, 8]",7,True,True,"['same_class_clutter', 'same_class_high_clutter', 'multi_anchor', 'relative_position', 'relational', 'baseline_wrong']"
scene0670_00,"The trash can is small and white. It is near brown cabinets and there is a poster that says ""kitchen"" above it.",25,trash can,3,"[25, 24, 3, 27, 1]",3,relative,exact_utterance,"['27', '33']","['cabinet', 'picture']","['27', '33']","[6, 11]",6,True,True,"['same_class_clutter', 'multi_anchor', 'relative_position', 'relational', 'baseline_wrong']"
scene0098_00,Choose the single box that is in front of the whiteboard next to the empty bookshelf.,36,box,1,"[36, 27, 1, 41, 0]",3,directional,exact_utterance,"['17', '20']","['whiteboard', 'bookshelf']","['17', '20']","[10, 9]",9,True,True,"['same_class_clutter', 'multi_anchor', 'directional', 'relational', 'baseline_wrong']"
scene0425_00,The correct dresser is infront of the blue sheet on the wall and beside the bed.,30,dresser,19,"[19, 30, 26, 22, 21]",2,directional,exact_utterance,"['1', '29', '3']","['wall_hanging', 'wall', 'bed']","['1', '29', '3']","[11, 8, 10]",8,True,True,"['multi_anchor', 'directional', 'relational', 'baseline_wrong']"
scene0246_00,"Big white pillow on top, at left side of bed.",42,pillow,38,"[39, 38, 40, 42, 41]",6,directional,exact_utterance,['13'],['bed'],['13'],[10],10,True,True,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'directional', 'relational', 'baseline_wrong']"
scene0246_00,"Facing the bed, choose the pillow on the right that is closest to the bed's headboard.",41,pillow,38,"[39, 38, 40, 42, 41]",6,directional,exact_utterance,['13'],['bed'],['13'],[13],13,True,True,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'directional', 'relational', 'baseline_wrong']"
scene0166_00,bottom right bag hanging on the wall with the others,37,bag,45,"[46, 45, 47, 49, 48]",5,other,exact_utterance,['18'],['wall'],['18'],[9],9,True,True,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'dense_scene', 'baseline_wrong']"
scene0635_00,The box is on the floor. It has two cardboard tubes on top of it.,28,box,1,"[5, 1, 25, 37, 28]",5,support,exact_utterance,['41'],['floor'],['41'],[10],10,True,True,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'relational', 'baseline_wrong']"
scene0166_00,The backpack on the wall is on the top left of the options,38,bag,45,"[46, 45, 47, 49, 48]",5,directional,exact_utterance,['18'],['wall'],['18'],[11],11,True,True,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'directional', 'relational', 'dense_scene', 'baseline_wrong']"
